"Please Cite as: Women’s Philanthropy Institute, Indiana University Lilly Family School of Philanthropy & DataLake, LLC. (2023). Women & Girls Index [Data file]. http://www.philanthropy.iupui.edu/wgi",
061622668,CENTERING HEALTHCARE INSTITUTE INC
061627454,YWCA NEW ENGLAND COUNCIL
061633772,FOUNDATION FOR CONNECTICUT WOMEN INC
061633973,HIDDEN CHOICES INC
061634222,SOUTHBURY JUNIOR WOMENS CLUB
061635126,CONNECTICUT MIRAGE GIRLS SOFTBALL INC
061635978,FIRST WOMAN PRESIDENT INC
061638394,NEW BIRTH MINISTRIES
061638749,WOMEN OF WISDOM
061638857,WOMEN OF COLORS FAMILY CHILD CARE NETWORK INC
061639604,OVARIAN CANCER ALLIANCE OF FLORIDA INC WOMENS AND GIRLS CANCER ALLIANCE
061642593,AT THE CROSS MINISTRIES
061642673,SE WA WOMEN IN THE OUTDOORS WA
061644156,WOMENS CHAMBER FOUNDATION INC
061646045,FAMILIES FREE INC
061646966,MISSAO CRISTA MUNDIAL INC
061652217,WOMEN OF POWER EDUCATIONAL SERVICES INC
061656736,LASALLE COUNTY CHILDRENS ADVOCACY CENTER
061657949,KENTUCKY COMMMISSION ON WOMEN FOUNDATION INCORPORATED
061660252,NORTHERN MIDDLESEX COUNTY REGIONAL DOMESTIC VIOLENCE RESPONSE TEAM
061662769,NEW JERSEY STATE FEDERATION OF WOMENS CLUBS WOMANS CLUB OF MULLICA HILL INC
061667651,LAURA HARTENBAUM BREAST CANCER FOUNDATION INC
061668725,ADOPTION LINK
061670169,WOMEN 4 CHANGE INC
061673604,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 67 MOOREFIELD ASSEMBLY
061674011,LADDER ALLIANCE INC
061681845,NATIONAL SOCIETY UNITED STATES DAUGHTERS OF 1812 DAVID CROCKETT CHAPTER
061691198,NATIONAL FUND FOR THE AWARENESS OF VIOLENCE AGAINST WOMEN AND CHILDREN
061694062,ANTIOCH MINISTRIES INTERNATIONAL FORT WORTH
061695497,CAMP HOPE
061696185,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MANCHESTER DAR
061699012,SAFE HOMES FOR CHILDREN INCORPORATED
061699369,GFWC BERKS COUNTY FEDERATION OF WOMENS CLUBS BOYERTOWN JUNIOR WOMANS CLUB
061699564,WOMANS HOUSE OF REFUGE CORPORATION
061703399,GIRLS MATTER
061706537,OPEN DOOR HEALING AND RENEWAL CENTER
061706626,CARMELITE NUNS OF VERMONT INC
061707783,UNITED DAUGHTERS OF THE CONFEDERACY 2633 MANLY J D DANTZLER CHAPTER
061710240,WOMEN OF EXCELLENCE NWAS INC
061710609,RAINBOW RECOVERY FOUNDATION INC
061711252,UNITED DAUGHTERS OF THE CONFEDERACY 2531 CHARLES BUCHANAN HARRIS CHAPTR
061712015,YWCAS OF THE NORTHEAST REGION INC
061712070,NEW JERSEY SPARKS CORPORATION
061713614,MAINE ASSOCIATION FOR THE EDUCATION OF YOUNG CHILDREN
061714258,WOMEN AT WORK MUSEUM INC
061714671,PARTNERED FOR PROGRESS
061716093,PHENOMENAL WOMEN OUTREACH CENTER INC
061716812,AMATEUR ATHLETIC UNION OF THE UNITED STATES SCHOHARIE VALLEY NITROS GIRLS BASKE
061718575,AFGHAN HANDS INC
061719642,CELINES PLACE INC
061723405,CATHOLIC DAUGHTERS OF THE AMERICAS 2532 ST JOHN BAPTIZER OF JESUS
061728348,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC WESTERN MASS CHEETAHS
061729150,WILLIAMSTOWN FIRE CO 1 LADIES AUXILIARY
061730850,MUSLIM WOMENS ASSOCIATION OF PITTSBURGH
061731496,MONTROSE WOMENS CLUB
061733540,BORN AGAIN HOMES FOR WOMEN
061734065,BLUE STAR MOTHERS OF AMERICA INC 1VA BLUE STAR FAMILIES OF CENTRAL V
061735170,ARIZONA SOUTH ASIANS FOR SAFE FAMILIES ASAFSF
061735215,DYNASTY SENIOR ALUMNAE ORGANIZATION INC VISION OF ST LOUIS SENIOR DRUM AND BU
061736510,GIRL PROJECT STRONGIRLS NFP
061737728,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION APACHE TRAIL DAR
061741539,WOMENS FUND OF RHODE ISLAND
061743347,MOTHERS CARE RESIDENTIAL SERVICES INC
061748373,SOW HEALTHY COALITION
061748693,GIRL FRIENDS OF THE NATIONAL CAPITAL AREA CHARITIES INC
061749148,NATIONAL ALUMNAE ASSOCIATION OF SPELMAN COLLEGE GREENSBORO NC CHAPTER
061749150,NATIONAL ALUMNAE ASSOCIATION OF SPELMAN COLLEGE CHARLESTON SC CHAPTER
061749151,NATIONAL ALUMNAE ASSOCIATION OF SPELMAN COLLEGE STONE MOUNTAIN GA CHAPTER
061749154,NATIONAL ALUMNAE ASSOCIATION OF SPELMAN COLLEGE NASHVILLE TN CHAPTER
061749906,DAUGHTERS OF HOPE MINISTRY
061750237,GIRLZ TALK
061751041,OKWESILIEZE WOMEN CLUB INC
061752959,AMATEUR ATHLETIC UNION OF THE UNITED STATES CONNECTICUT HEAT GIRLS BASKETBALL
061753587,NEW BEGINNINGS PREGNANCY SUPPORT SERVICES INC
061753602,CONCEPTS FOR WOMEN AND CHILDREN ON HIV AND AIDS
061753880,BLACK ICE WOMENS RUGBY BLACK ICE
061755239,MERIDIAN OBSTETRICS AND GYNECOLOGY ASSOCIATES P C
061755415,YOUNG EXPECTING MOTHER OUTREACH CENTER
061755865,TRIUMPHANT STEPS INC
061755887,REBUILD NEW ORLEANS NOW
061759457,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION NECHES RIVER DAR
061761341,WOMENS EMPOWERMENT NETWORK INC
061761826,GREEN LIGHT MINISTRIES
061761992,WOMEN IN AVIATION INTERNATIONAL OSHKOSH CHAPTER
061762193,UNITED HEARTS LIFE MISSION CENTERS INC
061763401,WOMEN OF FAITH MINISTRY
061764320,BLUE STAR MOTHERS OF AMERICA INC IN3 BLUE STARE HOOSIER
061764338,BOLTON WOMENS CLUB INC
061768609,RESEARCH FOR HEALTH INC
061769785,WORLD DAY OF PRAYER USA WDPUFA
061771805,BLUE STAR MOTHERS OF AMERICA INC 1SC MIDLANDS CHAPTER
061773267,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC BILLINGS MOMC
061774175,IMPACT 100 GREATER INDIANAPOLIS INC
061774339,SAN ANTONIO BREASTFEEDING COALITION
061774865,MOTHER THERESAS MEDICAL INC
061775988,SC JETS GIRLS FASTPITCH SOFTBALL AND BASEBALL ASSOCIATION SCJETS
061776653,UNITED STATES BOWLING CONGRESS INC 83639 OSAGE BEACH USBC WBA
061778006,NATIONAL STUDENTS OF AILING MOTHERS AND FATHERS SUPPORT NETWORK NATIONAL STUDENTS OF AMF
061778937,DAUGHTERS OF ZION EMPOWERMENT CENTER
061778959,GFWC BELPRE WOMANS CLUB
061781886,MARYS ANGELS INDEPENDENT LIVING FOR YOUNG WOMEN
061783275,JENNIFER A KAY FOUNDATION INC
061785306,YOUNG WOMEN ON THE RIZE
061785672,WISCONSIN RELIGIOUS COALITION FOR REPRODUCTIVE CHOICE
061786881,SOURCE NET WOMEN EMPOWERMENT PROGRAM
061787715,NEW BIRTH CHURCH
061787894,WOMANS CLUB OF PRINCE GEORGE COUNTY
061790418,BEAR HUGS FROM MOM
061790553,CHEERFUL HEARTS MINISTRY INC
061792739,OREGON WOMENS SAILING ASSOCIATION
061792826,CALLED AND CHOSEN WOMENS SUPPORT GROUP OUTHREACH MINISTRY
061797139,TOP OF TEXAS CHARITABLE ORGANIZATION INC
061798973,ROANOKE CHOWAN DOMESTIC VIOLENCE TASK FORCE
061799706,GAMMA ZETA ZETA EDUCATION FOUNDATION INC
061801809,BLUE STAR MOTHERS OF AMERICA INC 5OH EAGLE SUPPORT
061803987,RIVER CITY ROLLERGIRLS
061805406,HUAIROU COMMISSION
061808560,GIRLS LACROSSE OF POWAY
061809255,ALPHA WOMENS CENTER OF LOWELL
061810212,COMPUTERS NOW
061811886,GIRLTREK INCORPORATED GIRLTREK
061812986,BRA BIKERS RAISING AWARENESS CORP
061813488,MOTHERS BENEATH MY WINGS INC
061814967,SOMALI WOMEN UNITED COUNSEL OF AMERICA
061815269,GIRL POWER CAFE INC
061817472,GEORGIA BREASTFEEDING COALITION INC GBC
061818480,PROJECT ATHENA FOUNDATION
061818989,MAMMOTH LAKES PARENT PRESCHOOL
061820717,NATIONAL HOOK UP OF BLACK WOMEN ORLANDO
061821559,CAPITAN WOMENS CLUB
061821666,VIRTUE HOUSE INCORPORATED
061823775,NEW JERSEY STATE FEDERATION OF WOMENS CLUBS WOMANS CLUB OF NEWTON
061823968,WIVES OF FAITH INC
061826451,TEXAS COUNCIL ON FAMILY VIOLENCE INCORPORATED
061827991,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION CLEARFORK DAR
061828407,MEENAKSHI FOUNDATION INCORPORATED
061829688,THE ADVOCACY CENTER
061829792,NATIONAL SOCIETY DAUGHTERS OF COLONIAL WARS INC ARKANSAS SOCIETY
061830622,NEW BIRTH COMMUNITY DEVELOPMENT CORP NBCDC
061834142,VIRTUOUS WOMEN OUTREACH COMMUNITY CENTER
061837210,PRE MAMMOGRAM FOUNDATION
061837618,AMATEUR ATHLETIC UNION OF THE UNITED STATES VIRGINIA HURRICANES
061838930,THEMESSIANICWOMAN
061839127,MY AUNTIES HOUSE INC
061839133,CHANGING LIVES WITH WOMEN IN EVANGELISM AND WITH GROUP HOMES
061840045,PALO ALTO GIRLS SOFTBALL LEAGUE
066002471,BRISTOL HOSPITAL AUXILIARY GIFT SHOP BRISTOL HOSPITAL WOMENS AUXIL
066006696,JUNIOR LEAGUE OF STAMFORD NORWALK INC
066008393,WOMENS COMMUNITY CLUB OF GRAFTON VT INC
066011964,JUNIOR LEAGUE OF GREENWICH CONN INC
066011991,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 101005 GREATER HARTFORD CT
066032937,GENERAL FEDERATION OF WOMENS CLUBS GFWC OF CONNECTICUT INC
066035684,BRIDGEPORT HOSPITAL SCHOOL OF NURSING ALUMNAE ASSOCIATION INC
066036962,WOMENS STUDY CLUB
066039157,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SARAH WHITMAN HOOKER DAR
066039158,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ABIGAIL PHELPS DAR
066039989,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION FREELOVE BALDWIN STOW DAR
066040565,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION EUNICE DENNIE BURR DAR
066041068,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MARY CLAP WOOSTER DAR
066041253,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION KATHERINE GAYLORD DAR
066041292,NATIONAL SOCIETY DAUGHTERS OF COLONIAL WARS INC CONNECTICUT SOCIETY
066042243,NATIONAL SOCIETY UNITED STATES DAUGHTERS OF 1812 CONNECTICUT STATE SOCIETY
066043316,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION CONNECTICUT STATE SOCIETY DAR
066044345,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SIBBIL DWIGHT KENT DAR
066044487,JUNIOR LEAGUE OF NEW BRITAIN INC
066044697,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION NATHAN HALE MEMORIAL DAR
066045313,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION JUDEA DAR
066045352,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ANNA WARNER BAILEY DAR
066046467,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION GOOD WIFES RIVER DAR
066046540,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MARY WOOSTER DAR
066046559,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION HANNAH WOODRUFF DAR
066046731,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SUSAN CARRINGTON CLARKE DAR
066046896,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ROGER SHERMAN DAR
066047529,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MARY FLOYD TALLMADGE DAR
066047945,GENERAL FEDERATION OF WOMENS CLUB SUFFIELD WOMENS CLUB INC
066048427,BRIDGEPORT HOSPITAL FRIENDS OF PEDIATRICS INC
066049093,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 46 HOPE ASSEMBLY
066052667,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION PUTNAM HILL DAR
066054343,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION RUTH WYLLYS DAR
066054817,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION PENELOPE TERRY ABBEY DAR
066054834,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 101009 SI OF MERIDIAN CT
066055077,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SARA RIGGS HUMPHREYS DAR
066055689,DAUGHTERS OF THE AMERICAN COLONISTS CONNECTICUT STATE SOCIETY
066056431,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ANNE WOOD ELDERKIN DAR
066056702,INTERNATIONAL ORDER OF THE RAINBOW GIRLS CONNECTICUT GRAND ASSEMBLEY
066056753,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION NORWALK VILLAGE GREEN DAR
066057739,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION HANNAH BENEDICT CARTER DAR
066058169,JUNIOR LEAGUE OF EASTERN FAIRFIELD COUNTY INC
066060186,GENERAL FEDERATION OF WOMENS CLUBS GFWC NORWALK FUNDRAISING CLUB
066061155,CONNECTICUT JUNIOR WOMEN INC VERNON JUNIOR WOMANS CLUB INC
066061418,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ABIGAIL WOLCOTT ELLSWORTH DAR
066061425,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION LUCRETIA SHAW DAR
066062078,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION WADSWORTH DAR
066062372,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION WILLARD WELLS STANLEY CHAPTER DAR
066062649,ALUMNAE ASSOCIATION OF ST FRANCIS HOSPITAL SCHOOL OF NURSING
066062813,NATIONAL COUNCIL OF JEWISH WOMEN INCORPORATED BRIDGEPORT GR SECTION
066064335,WOMENS FELLOWSHIP OF THE BUNKER HILL CONGREGATIONAL CHURCH
066065193,GENERAL FEDERATION OF WOMENS CLUBS WOMANS CLUB OF ENFIELD INC
066066222,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SARAH WILLIAMS DANIELSON DAR
066067861,CHURCH WOMEN UNITED CONNECTICUT STATE
066068224,BRIDGEPORT LADIES CHARITABLE SOCIETY INC 105306388100
066068871,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION TRUMBULL PORTER DAR
066068874,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION STAMFORD DAR
066068876,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION PHOEBE HUMPHREY DAR
066068877,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION DRUM HILL DAR
066068878,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BROOKS GREEN WOODS CHAPTER
066068879,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION GOVERNOR JONATHON TRUMBULL DAR
066068882,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION EUNICE COBB STOCKING DAR
066070298,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION LADY FENWICK DAR
066071032,DAUGHTERS OF THE HOLY SPIRIT INC
066071075,WOMANS ASSOCIATION OF THE UNITED CHURCH INC
066071624,LITTLE LEAGUE BASEBALL INC 2070216 TRUMBULL LL
066072087,GENERAL FEDERATION OF WOMENS CLUB GLASTONBURY FEDERATED WOMENS CLUB
066072270,CHESHIRE JUNIOR WOMENS CLUB INCORPORATED
066072921,GENERAL FEDERATION OF WOMENS CLUB E HARTFORD WOMANS CLUB INC GFWC
066074862,SHARON WOMANS CLUB INCORPORATED
066074893,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC NEW HAVEN
066074900,CONNECTICUT JUNIOR WOMEN INC GLASTONBURY JUNIOR WOMENS CLUB INC
066075572,NATL SOCIETY WOMEN DESCENDANTS OF THE ANCIENT AND HONORABLE ARTILLERY CONNECTICUT COURT OF ASSISTANTS
066075679,CONNECTICUT JUNIOR WOMEN INC SIMSBURY JUNIOR WOMANS CLUB
066076310,THOMASTON WOMANS CLUB
066082740,NATIONAL COUNCIL OF NEGRO WOMEN INC HARTFORD SECTION
066083900,CONNECTICUT JUNIOR WOMEN INC JUNIOR WOMENS CLUB OF FAIRFIELD INC
066085216,TOLLAND JUNIOR WOMENS CLUB INC DBA TOLLAND COMMUNITY WOMEN
066085472,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 711 000 90000123 SHORELINE
066089843,CONNECTICUT JUNIOR WOMEN INC TRUMBULL COMMUNITY WOMEN INC
066091280,CONNECTICUT JUNIOR WOMEN INC CENTRAL CONNECTICUT COMMUNITY WOMEN
066103627,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 744 000 90000125 STAMFORD
066103672,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 101010 CONNECTICUT RIVER VALLEY CT
066103689,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 107 000 90000108 BRISTOL
066103691,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 75 288 000 90001262 GREENWICH
066103694,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 407 000 90000115 LITCHFIELD CNTY
066103698,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 506 000 90000119 NEW HAVEN
066103700,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 540 000 90000121 NORWALK
066103701,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 541 000 90000122 NORWICH COLCHES
066108177,ACCOUNTING AND FINANCIAL WOMENS ALLIANCE 45 CONNECTICUT CHAPTER
066108475,WELLESLEY COLLEGE ALUMNAE ASSOC HARTFORD WELLESLEY CLUB
066108869,CONNECTICUT JUNIOR WOMEN INC BEACON FALLS JUNIOR WOMENS CLUB INC
066175064,YOUNG WOMENS LEAGUE OF NEW CANAAN
066178583,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 147 000 90000110 COLCHESTER
066182433,DAUGHTERS OF OUR LADY OF THE GARDEN INCORPORATED GIANELLIS EARLY LEARNING CENTER
066183629,WELLESLEY COLLEGE ALUMNAE ASSOC SOUTHEASTERN CONNECTICUT WELLESLEY
068167678,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 533 000 90002390 NORTHAMPTON AMH
100003432,LA JOLLA BIOENGINEERING INSTITUTE
100006572,CONNECTICUT SHAMROCKS GIRLS BASKETBALL CLUB
100009608,SOUTHERN MAINE WOMENS GOLF ASSOCIATION SCHOLARSHIP FUND SMWGA SCHOLARSHIP FUND
100817874,DANCE FOR THE CURE INC
101180860,INTERNATIONAL MIDWIFE ASSISTANCE INC
102314734,WOMEN EMPOWERING WOMEN FOR THE NEXT GENERATION MINISTRIES
110254703,GRANDMA LINDAS DAYCARE
111177669,MOTHERS AGAINST METHAMPHETAMINE
111323482,NEW BIRTH CHURCH OF LOUISVILLE INC
111630919,THE YWCA OF BROOKLYN INC
111631829,SACRED HEART CONVENT SISTERS OF ST JOSEPH ACADEMY
111635109,SISTERS OF THE ORDER OF ST DOMINIC
111666847,NATIONAL COUNCIL OF JEWISH WOMEN INCORPORATED BROOKLYN SECTION
111667628,SISTERS OF SAINT JOSEPH FONTBONNE HALL
111667831,WOMANS CLUB OF GREAT NECK INC
111673937,NA AMAT USA BROOKLYN COUNCIL
111686380,SHULAMITH INSTITUTE FOR GIRLS INC
111733456,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 03 000 000 90000001 BROOKLYN
111776035,PLANNED PARENTHOOD OF NASSAU COUNTY INC
111801729,NORTH SHORE HOLIDAY HOUSE INC
111817497,QUEENSBORO COUNCIL FOR SOCIAL WELFARE INC
111841901,LADIES VILLAGE IMPROVEMENT SOCIETY OF EAST HAMPTON LONG ISLAND INC
111844603,HADADDAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 38 000 000 90000668 HADASSAH NASSAU
111879627,JUNIOR LEAGUE OF LONG ISLAND INC
111903681,SISTERS OF THE HOLY CHILD JESUS AT OLD WESTBURY NEW YORK INC
111947212,CHILD GIRL WOMAN LAKES AREA ASSOCIATION
111953565,NATIONAL COUNCIL OF JEWISH WOMEN INCORPORATED SOUTH SHORE SECTION
111973108,JUNIOR LEAGUE OF BROOKLYN
111977085,DAUGHTERS OF WISDOM OUR LADY OF PERPETUAL HELP
112017632,TORAH ACADEMY FOR GIRLS
112018639,WASHINGTON STATE CHAPTER OF WOMEN IN AVIATION INTERNATIONAL
112041443,GIRL SCOUTS OF NASSAU COUNTY INC
112128244,DAUGHTERS OF WISDOM OUR LADY OF PERPETUAL HELP
112145062,EAST FLATBUSH RELIGIOUS SCHOOL FOR GIRLS INC DBA BNOS ISRAEL SCHOOL FOR GIRLS
112163504,ASSOCIATED BETH RIVKA SCHOOL FOR GIRLS INC
112164434,GIRL SCOUTS OF SUFFOLK COUNTY INC
112174252,DAUGHTERS OF CHARITY OF ST VINCENT DEPAUL
112204939,HOME FOR THE AGED OF THE LITTLE SISTERS OF THE POOR QUEEN OF PEACE RESIDENCE
112209620,U S INTERNATIONAL FOUNDATION FOR STUDIES IN REPRODUCTION INC
112213686,BL GIRLS TOWN JERUSALEM INC
112219403,HALF HOLLOW HILLS GYMNASTIC WORKSHOP INC
112251527,FRANCISCAN SISTERS OF THE POOR
112273140,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 38 457 000 90000694 MERRICK BELLMOR
112305323,URSULINE SISTERS OF TILDONK
112366394,WOMANS CLUB OF DOUGLASTON
112369501,CATHOLIC DAUGHTERS OF AMERICA 1257 CT REGINA PACIS
112370121,CATHOLIC DAUGHTERS OF THE AMERICAS 1783 ST ROSALIE
112370186,CATHOLIC DAUGHTERS OF AMERICA 1517 COURT ST BONIFACE
112372644,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 38 197 000 90000672 E MEADOW SIMCHA
112373106,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 33 565 000 90002298 PARK HILLS
112388709,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 03 376 000 90000020 KINNERETH SHULA
112389892,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 03 181 000 90000012 DENA
112390748,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 03 432 000 90000021 MANHATTAN BCH
112391356,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 03 101 000 90000006 BORO PARK
112392501,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 03 818 000 90000026 WEDGEWOOD BRAND
112400731,NATIONAL CONGRESS OF NEIGHBORHOOD
112403001,NATIONAL COUNCIL OF JEWISH WOMEN INCORPORATED EAST MEADOW SECTION
112407471,WOMANS FORUM OF NASSAU COUNTY C O MRS BERNICE F WESHLER
112415837,CENTER FOR THE ELIMINATION OF VIOLENCE IN THE FAMILY
112425654,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 65 155 000 90001188 COMMACK HILLS T
112432759,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC LONG ISLAND
112442377,THE SAFE CENTER LI INC
112444676,THE CENTER FOR ANTI VIOLENCE EDUCATION INC
112445935,GFWC NEW YORK STATE FEDERATION OF WOMENS CLUBS LONG ISLAND FEDERATION OF WOMENS CL
112454790,PLANNED PARENTHOOD HUDSON PECONIC INC
112462056,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 03 033 000 90000002 ASOR ZOHARA
112470902,L I AGAINST DOMESTIC VIOLENCE INC
112474937,MOTHERS CENTER OF SUFFOLK INC
112501517,NATIONAL SORORITY PHI DLTA KPPA BTA OMCRN CHPT BG SSTR ED ACTN SRV CTR
112542011,HARMONY HEIGHTS SCHOOL
112547337,CATHOLIC DAUGHTERS OF AMERICA LORD OF MIRACLES OF OLPH 2223
112552893,FRIENDS OF THE CHILDREN OF LASCAHOBAS HAITI INC
112556663,CONGREGATION BETH HALEVY AND MASHAS LADIES AUXILIARY MAYAN HACHINUCH
112557683,BETH CHANA SCHOOL AND HIGH SCHOOL FOR GIRLS
112569522,UNIVERSITY ASSOCIATES IN OBSTETRICS AND GYNECOLOGY P C TODD GRIFFIN MD
112574610,DECISION WOMEN IN COMMERCE AND PROFESSIONS INC
112578274,NATIONAL ASSOCIATION OF NEGRO BUSIN ESS AND PROFESSIONAL WOMENS C CENTRAL NASSAU CLUB OF THE NANBPWC
112589505,WOMENS CENTER OF HUNTINGTON
112594653,PROVIDENCE HOUSE INC
112611578,BIRTHRIGHT OF NEW YORK STATE INC
112623764,WOMEN HELPING WOMEN INC
112635510,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 03 567 000 90000023 PARK SLOPE
112644563,BROOKLYN WOMENS ANTIRAPE EXCHANGE INC
112649351,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1968 CLASS OF
112650941,BROOKLYN WOMENS EXCHANGE INC
112657115,MERCY CENTER MINISTRIES INC
112664913,SINGLE MOTHERS BY CHOICE INC
112668816,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 38 811 000 90002293 WATERS EDGE BAY
112671708,EAST END WOMENS NETWORK INC
112676115,NATIONAL ASSOCIATION OF NEGRO BUSINESS AND PROFESSIONAL WOMENS C BROOKLYN CLUB
112682420,BROOKHAVEN WOMEN IN SCIENCE
112689399,LONG ISLAND INFANT DEVELOPMENTAL PROGRAM
112697564,NATIONAL COALITION OF 100 BLACK WOMEN OF LONG ISLAND CHAPTER INC
112705990,LONG ISLAND CENTER FOR BUSINESS AND PROFESSIONAL WOMEN INC
112707801,SUFFOLK NETWORK ON ADOLESCENT PREGNANCY SNAP LONG ISLAND
112715431,LA LECHE LEAGUE INTERNATIONAL INC LLL BROOKLYN PARK SLOPE
112720846,TOP LADIES OF DISTINCTION INC QUEENS EMPIRE STATE
112733136,NEW BEGINNINGS FAMILY AND CHILDRENS SERVICES INC
112743816,LIFE CENTER OF NEW YORK INC
112767098,MOTHER AND UNBORN BABYCARE OF LONG ISLAND INC
112767913,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 38 226 000 90000674 ESTER
112768167,DAUGHTERS OF RIZPAH INC
112814698,QUEENS WOMENS NETWORK
