,organizationName,id,name,description,address,categories,revenue,EIN,totcntrbgfts,totcntrbs,Name,boston_region
194,Cultura Latina Dance Academy Incorporated,1750332,Cultura Latina Dance Academy Incorporated,Enhance share and connect cultures,25 Exchange Street,WART,56554,813003840,,26050.0,CULTURA LATINA DANCE ACADEMY INCORPORATED,No
195,Cultura Latina Dance Academy Incorporated,1750332,Cultura Latina Dance Academy Incorporated,Enhance share and connect cultures,25 Exchange Street,WART,56554,813003840,,18400.0,CULTURA LATINA DANCE ACADEMY INCORPORATED,No
196,Somerset Senior Girls Softball League Inc,1946414,Somerset Senior Girls Softball League Inc,Organized girls softball league,49 Hood St,GIRL,55288,43404820,,,SOMERSET SENIOR GIRLS SOFTBALL LEAGUE INC,No
197,The Margaret Fitzgerald Grogan Petersmeyer Foundation Inc,1946213,The Margaret Fitzgerald Grogan Petersmeyer Foundation Inc,"Part 1: see part III, line 1 - part 3: the foundation provides grants to outstanding girls and young women from the institutions that featured most prominently in margaret fitzgerald grogan petersmeyer's life, including tenacre country day school, dana hall school, Harvard college, the Harvard business school, and others. The grants are awarded to assist in the further development of the grantee's character, interests and talents.",CO Kellogg George 8 Grove St,WSW,54282,42931104,36175.0,,THE MARGARET FITZGERALD GROGAN PETERSMEYER FOUNDATION INC,No
198,Intercollegiate Rowing Association Inc,1960807,Intercollegiate Rowing Association Inc,"Part 1: the organization seeks to organize, manage and promote the sport of intercollegiate rowing, and to annually hold postseason intercollegiate national rowing championships that support the highest level of competition amoung top intercollegiate men's and women's rowing teams.",59 Flaggler Dr,GIRL,53732,850621591,73150.0,,INTERCOLLEGIATE ROWING ASSOCIATION INC,No
199,Lost Coin Womans Fund Inc,1946288,Lost Coin Womans Fund Inc,Education grants to low-income women,PO Box 82,WHSV,52940,43161168,,49884.0,LOST COIN WOMANS FUND INC,No
200,Haley Cremer Foundation,1634914,Haley Cremer Foundation,"The foundation's mission is to award financial assistance to aspiring physical therapists and associated rehabilitation professionals, medical research organizations, as well as programs dedicated to heal, grow and strengthen families facing profound challenges due to serious illness, trauma or death.",14 Talcott Rd,"WHLTH,WSW",52650,473337320,,92447.0,HALEY CREMER FOUNDATION,No
201,Love Life Now Foundation Inc,951014,Love Life Now Foundation Inc,Love life now foundation (lln) is a global awareness and education organization that supports survivors of domestic violence through year-round initiatives and direct assistance to domestic violence programs.,PO Box 116,GV,52614,453580292,,,LOVE LIFE NOW FOUNDATION INC,No
202,Our Home Mer Doon,358647,Our Home Mer Doon,,8 Tara Dr,WHSV,51676,202383398,,51676.0,,No
203,Our Home Mer Doon,358647,Our Home Mer Doon,,8 Tara Dr,WHSV,51676,202383398,,0.0,,No
204,Weymouth Girls Basketball Inc,1946317,Weymouth Girls Basketball Inc,Girls recreational basketball league,25 Ryans Way,GIRL,50334,43218134,,,WEYMOUTH GIRLS BASKETBALL INC,No
205,Cape Ann Chapter of the Daughters of the American Revolution Tr Susan M Herron Et AL Co Ttees,1946739,Cape Ann Chapter of the Daughters of the American Revolution Tr Susan M Herron Et AL Co Ttees,Part 1: the trust was created and is operated exclusively for the benefit of and in connection with the cape ann chapter of the daughters of the american revolution. The trustees pay the net income quarterly to cape ann chapter for its charitable and educational purposes.,109 Main St,WSNW,49286,46541215,0.0,,CAPE ANN CHAPTER OF THE DAUGHTERS OF THE AMERICAN REVOLUTION TR SUSAN M HERRON ET AL CO TTEES,No
206,Keeping Pace With Multiple Miracles Inc,1389360,Keeping Pace With Multiple Miracles Inc,See schedule o,389 W Center St,WHLTH,46151,770697869,,39965.0,KEEPING PACE WITH MULTIPLE MIRACLES INC,No
207,Women Survivors of Homicide Movement Inc,1742814,Women Survivors of Homicide Movement Inc,,4560 Washington St Apt 316,GV,43500,811646597,,43500.0,WOMEN SURVIVORS OF HOMICIDE MOVEMENT INC,No
208,The Affirmation Center Inc,1946292,The Affirmation Center Inc,"Part 1: to provide counseling, education, and supportive services to victims of sexual molestation.",1111 Langley St,GV,42747,43165640,44000.0,,THE AFFIRMATION CENTER INC,No
209,New England Womens Hockey Alliance,1942346,New England Womens Hockey Alliance,"To promote, carry out, supervise and control intercollegiate women's ice hockey among member educational institutions; to encourage and develop academic excellence, athletic competition, and sportsmanship among students in member institutions, and to encourage, develop an support charitable and educational activities within and without the United States of America",220 Winthrop St Ste 201,GIRL,41911,831849400,,0.0,NEW ENGLAND WOMENS HOCKEY ALLIANCE,No
210,National Charity League Inc Wellesley Chapter,624187,National Charity League Inc Wellesley Chapter,"To foster mother-daughter relationships in a philanthropic organization committed to community service, leadership development, and cultural experiences.",PO Box 81061,WSNW,41907,271754284,,45085.0,NATIONAL CHARITY LEAGUE INC WELLESLEY CHAPTER,No
211,Sweet Adelines International 112001 Region 01 North Atlantic,1055589,Sweet Adelines International 112001 Region 01 North Atlantic,Advancing the musical art form of womens' barbershop harmony through education and performance.,25 Kensington Dr,WART,41693,510170342,,1700.0,SWEET ADELINES INTERNATIONAL 112001 REGION 01 NORTH ATLANTIC,No
212,Parkway Girls Softball League Inc,1945700,Parkway Girls Softball League Inc,Softballinstructionandleagueplayforgirlsages5to18inthegreaterbostonmetropolitanarea.,1842 Centre Street,GIRL,39112,30604434,,,PARKWAY GIRLS SOFTBALL LEAGUE INC,No
213,South Shore Rugby Football Club Inc,1004335,South Shore Rugby Football Club Inc,"Theclubhasbeenorganizedtopromoteandcompeteinthesportofrugbyinthesouthshoreofmassachusetts,andonanationalandinternationallevel.Toencourageandfosterthedevelopmentandparticipationofthesportatalllevelsofplayisapriorityoftheorganization.Theactivitiestoachievethesegoalswillbecarriedoutundersection501c3oftheinternalrevenuecodesandunderthecorrespondingsectionofanytruefederaltaxcodes.",526 East 5th Street,GIRL,37902,462877026,,10343.0,SOUTH SHORE RUGBY FOOTBALL CLUB INC,No
214,Womanade Inc,1225637,Womanade Inc,To help needy residents of the south shore of massachusetts.,PO Box 570,WHSV,37321,611467070,,31014.0,WOMANADE INC,No
215,Savvy Womens Alliance,1671976,Savvy Womens Alliance,"The corporation is organized for the purpose of uniting, educating, nurturing, and igniting women to make informed decisions leading to healthier lifestyles and a healthier world. The organizations potential members will consist of like minded women who are embracing the frontier of nontoxic living. The main revenue streams currently being developed are donations by sponsors, membership dues, and grants. In addition to educating women, the organization will seek to celebrate and promote like minded businesses sharing similar values, and to offer brands to members who are seeking choices.",5 robin ln,"WENV,WSW",36609,474202864,,,SAVVY WOMENS ALLIANCE,No
216,Women Thriving Inc,1942804,Women Thriving Inc,,37 Osborne Rd,WHSV,35817,833307979,,32208.0,WOMEN THRIVING INC,No
217,Women Thriving Inc,1942804,Women Thriving Inc,,37 Osborne Rd,WHSV,35817,833307979,,36916.0,WOMEN THRIVING INC,No
218,Women Thriving Inc,1942804,Women Thriving Inc,,37 Osborne Rd,WHSV,35817,833307979,,55000.0,WOMEN THRIVING INC,No
219,Radcliffe Choral Society Foundation Rcsf,1468850,Radcliffe Choral Society Foundation Rcsf,To promote women's choral music.,PO Box 51040,WART,35526,900717463,,35747.0,RADCLIFFE CHORAL SOCIETY FOUNDATION RCSF,No
220,Miss Pink Pageant Ashley L Shultz Sole Mbr,990185,Miss Pink Pageant Ashley L Shultz Sole Mbr,"Awareness, research, and support for curing breast cancer and breast cancer survivors and their families.",293 K Street Unit 2,"GIRL,WHLTH",34488,461446401,,10093.0,MISS PINK PAGEANT ASHLEY L SHULTZ SOLE MBR,No
221,Little League Baseball Inc 2210821 Whitman Baseball Softball,907063,Little League Baseball Inc 2210821 Whitman Baseball Softball,Part 1: the whitman baseball-softball association serves over 600+ little league & softball youths.,PO Box 223,GIRL,33594,426617740,56539.0,,LITTLE LEAGUE BASEBALL INC 2210821 WHITMAN BASEBALL SOFTBALL,No
222,Bay State Girls Softball Inc,1946322,Bay State Girls Softball Inc,To offer inner city girls a safe and positive activity. Softball is a safe community activity for girls from diverse backgrounds in an inner city community. Softball builds self-esteem and teamwork.,PO Box 30162,GIRL,33111,43220996,,2750.0,BAY STATE GIRLS SOFTBALL INC,No
223,M F Legacy Inc,2234089,M F Legacy Inc,All volunteer organization that provides softball training and competition opportunities to females ages 10-18. Fee waivers are available to families in need. Monies received are only used for club activities benefiting the players.,451 Pleasant St,GIRL,32452,852811763,,,M F LEGACY INC,No
224,Obstetrical Society of Boston Inc,1946443,Obstetrical Society of Boston Inc,"To cultivate and disseminate scientific knowledge in the areas of obstetrics, gynecology, and reproductive endocrinology.",CO Melanie Nathan 36 Clifton Ave,WHLTH,32372,43469680,,0.0,OBSTETRICAL SOCIETY OF BOSTON INC,No
225,Microloan Foundation USA Inc,903651,Microloan Foundation USA Inc,"Part 1: the microloan foundation is an international development organization that reduces poverty and inequality by providing microfinance services to impoverished women living in remote rural areas in sub-saharan african countries. The organization has assisted approximately 240,000 women and 960,000 children since inception. Microloan foundation USA is the fundraising arm for these purposes. - Part 3: the microloan foundation is an international development organization that reduces poverty and inequality by providing microfinance services to impoverished women living in remote rural areas in sub-saharan african countries. Mlf USA is the us fundraising arm of these purposes.",237 Bonad Rd,"ND,WINTL",31715,421751736,78778.0,,MICROLOAN FOUNDATION USA INC,No
226,Sippican Womans Club,1946395,Sippican Womans Club,"Part 1: social, educational & humanitarian",PO Box 121,WSNW,31362,43370241,7855.0,,SIPPICAN WOMANS CLUB,No
227,Sippican Womans Club,1946395,Sippican Womans Club,"Part 1: social, educational & humanitarian",PO Box 121,WSNW,31362,43370241,8120.0,,SIPPICAN WOMANS CLUB,No
228,Somerset Berkley Softball League,1946337,Somerset Berkley Softball League,Recreation softball league for girls aged 5 to 12,PO Box 564,"GIRL,WSW",29875,43251617,,3808.0,SOMERSET BERKLEY SOFTBALL LEAGUE,No
